review,y,clean_review,clean_review2,phone,camera,battery,delivery,processor
great phone in budget. .. pubg performance was rough camera is worsen by the worn update. .. ni8 mode cam has been aadded to his phone also. .. bad stupid phone,0,great phone budget pubg performance rough camera worsen worn update ni8 mode cam aadde -PRON- phone also bad stupid phone,"['great', 'phone', 'budget', 'pubg', 'performance', 'rough', 'camera', 'worsen', 'worn', 'update', 'ni8', 'mode', 'cam', 'aadde', '-pron-', 'phone', 'also', 'bad', 'stupid', 'phone']",0.91305035,0.8797159,0.9534679,0.9205172,0.9098058
Best Smartphone by Mi in this Range. . malfunction for it. IF you r confused between Samsung M30 and MI NOTE 7 Pro. . mi is badly for look and price range also Samsung is worst for its amoled display whis is have in this mi phone. .. but overall stop for it,0,good smartphone mi range malfunction -PRON- -PRON- r confuse samsung m30 mi note 7 pro mi badly look price range also samsung bad -PRON- amoled display whis mi phone overall stop -PRON-,"['good', 'smartphone', 'mi', 'range', 'malfunction', '-pron-', '-pron-', 'r', 'confuse', 'samsung', 'm30', 'mi', 'note', '7', 'pro', 'mi', 'badly', 'look', 'price', 'range', 'also', 'samsung', 'bad', '-pron-', 'amoled', 'display', 'whis', 'mi', 'phone', 'overall', 'stop', '-pron-']",0.92138267,0.8434822,0.9470828,0.91605836,0.89121956
Evil smooth phone. . and back camera quality is very evil but rear camera is a large bit high. But value for money.,0,evil smooth phone back camera quality evil rear camera large bit high value money,"['evil', 'smooth', 'phone', 'back', 'camera', 'quality', 'evil', 'rear', 'camera', 'large', 'bit', 'high', 'value', 'money']",0.88476217,0.9233111,0.9617108,0.9497526,0.9336219
Thise is very nice mobile ...I like it very much ..... delivery is also fast in lockdown ...I am very happy to it .thank you mi Redmi,1,thise nice mobile like -PRON- much delivery also fast lockdown happy -PRON- thank -PRON- mi redmi,"['thise', 'nice', 'mobile', 'like', '-pron-', 'much', 'delivery', 'also', 'fast', 'lockdown', 'happy', '-pron-', 'thank', '-pron-', 'mi', 'redmi']",0.9394071,0.8976323,0.94365185,0.93987894,0.9188186
I m meagerly dissatisfy 👍 All section r superb. . delivery guy also politeness. . like the most part is battery backup. . really awesome. . just stay in place for it. . TQ U Flipkart 💕 💕..,0,meagerly dissatisfy thumb section r superb delivery guy also politeness like part battery backup really awesome stay place -PRON- tq u flipkart two heart two heart,"['meagerly', 'dissatisfy', 'thumb', 'section', 'r', 'superb', 'delivery', 'guy', 'also', 'politeness', 'like', 'part', 'battery', 'backup', 'really', 'awesome', 'stay', 'place', '-pron-', 'tq', 'u', 'flipkart', 'two', 'heart', 'two', 'heart']",0.87691164,0.8959071,0.9732851,0.9633683,0.92266226
"Great product in this price segment.It delivers better performance, better picture quality and better battery backup.",1,great product price segmentit deliver well performance well picture quality well battery backup,"['great', 'product', 'price', 'segmentit', 'deliver', 'well', 'performance', 'well', 'picture', 'quality', 'well', 'battery', 'backup']",0.86262095,0.922894,0.9636131,0.9534272,0.9345668
"front camera is awesome but the rear camera is little bit good but enough. phone runs smoothly , battery backup not so good because of 3080 mah power backup.",1,front camera awesome rear camera little bit good enough phone run smoothly battery backup good 3080 mah power backup,"['front', 'camera', 'awesome', 'rear', 'camera', 'little', 'bit', 'good', 'enough', 'phone', 'run', 'smoothly', 'battery', 'backup', 'good', '3080', 'mah', 'power', 'backup']",0.87647283,0.91464615,0.95614225,0.9239648,0.92821234
"I just love the phone , camera , features, bought for my mother and she absolutely love it thanks Flipkart.",1,love phone camera feature buy -PRON- mother -PRON- absolutely love -PRON- thank flipkart,"['love', 'phone', 'camera', 'feature', 'buy', '-pron-', 'mother', '-pron-', 'absolutely', 'love', '-pron-', 'thank', 'flipkart']",0.9180604,0.85238993,0.96336555,0.9533018,0.90248376
"The Redmi Note5 Pro is effortlessly setting new standards for performance and camera quality in the segment.Great new evolution in design, high quality 18:9 screen with slim bezels, spectacular performance, excellent battery life, superb camera with low light and portrait on both front and rear camera",1,redmi note5 pro effortlessly set new standard performance camera quality segmentgreat new evolution design high quality 189 screen slim bezel spectacular performance excellent battery life superb camera low light portrait front rear camera,"['redmi', 'note5', 'pro', 'effortlessly', 'set', 'new', 'standard', 'performance', 'camera', 'quality', 'segmentgreat', 'new', 'evolution', 'design', 'high', 'quality', '189', 'screen', 'slim', 'bezel', 'spectacular', 'performance', 'excellent', 'battery', 'life', 'superb', 'camera', 'low', 'light', 'portrait', 'front', 'rear', 'camera']",0.906675,0.9095802,0.9713177,0.9569639,0.93360287
"Nice mobile! Bettery first for one and half day, Good performance no lag at all. Camera evil in daylight ok in law light. Unsound outpit through speaker is big piano than s # ms # ng mobiles. And nasty fast delivery by flipkart!",0,nice mobile bettery first one half day good performance lag camera evil daylight ok law light unsound outpit speaker big piano ms ng mobiles nasty fast delivery flipkart,"['nice', 'mobile', 'bettery', 'first', 'one', 'half', 'day', 'good', 'performance', 'lag', 'camera', 'evil', 'daylight', 'ok', 'law', 'light', 'unsound', 'outpit', 'speaker', 'big', 'piano', 'ms', 'ng', 'mobiles', 'nasty', 'fast', 'delivery', 'flipkart']",0.8982582,0.87706876,0.9606211,0.94448483,0.9022651
