text,aspect,y
Manzara sahane evet ama servis rezalet.,SERVICE#GENERAL,negative
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",FOOD#STYLE_OPTIONS,negative
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",FOOD#QUALITY,positive
bu servise bu fiyatlar ise cok faZla.,RESTAURANT#PRICES,negative
Lacivert beni kalitesinin dusukluguyle cok sasirtti,RESTAURANT#GENERAL,negative
Nerden baslasam bilemedim.,RESTAURANT#GENERAL,negative
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,FOOD#QUALITY,negative
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,SERVICE#GENERAL,negative
ayrica gelen kalamar soguk ve sünger gibiydi.,FOOD#QUALITY,negative
uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,RESTAURANT#GENERAL,negative
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,RESTAURANT#GENERAL,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,FOOD#QUALITY,negative
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,FOOD#QUALITY,negative
Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,RESTAURANT#GENERAL,negative
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,RESTAURANT#PRICES,negative
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",AMBIENCE#GENERAL,negative
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,SERVICE#GENERAL,negative
lokumun daha iyisini yedim küşleme güzeldi.,FOOD#QUALITY,positive
şazeli salata yani...,FOOD#QUALITY,positive
bilemedim mekana daha sonra belki bir şans daha verebilirim.,RESTAURANT#GENERAL,neutral
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,DRINKS#PRICES,negative
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,DRINKS#PRICES,negative
Şatobiryanı öneririm.,FOOD#QUALITY,positive
Sosu tereyagli ve yumusak .,FOOD#QUALITY,positive
Sert et sevmeyenler icin cok lezzetliydi.,FOOD#QUALITY,positive
Guvecte yogurt ve salatayla iyi bir uclu oldu.,FOOD#QUALITY,positive
Servisi hizli valesi var.,SERVICE#GENERAL,positive
Acik mekanda ise gardenya bolumu guzel.,AMBIENCE#GENERAL,positive
Kalabalik icin ideal.,RESTAURANT#GENERAL,positive
Yaninda cafe ve nargile bolumu var.,RESTAURANT#GENERAL,positive
"Cok fazla cesit var,insanin kafasi karışıyor dogrusu.",RESTAURANT#GENERAL,positive
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,FOOD#QUALITY,neutral
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,DRINKS#QUALITY,positive
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",AMBIENCE#GENERAL,positive
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,RESTAURANT#GENERAL,negative
Lezzet değişiyor...,RESTAURANT#GENERAL,negative
Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,RESTAURANT#GENERAL,positive
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,FOOD#QUALITY,positive
Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim.,FOOD#QUALITY,positive
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",FOOD#QUALITY,positive
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,FOOD#STYLE_OPTIONS,neutral
"Yanında turşu, cacık veya yoğurtla harika oluyor.",FOOD#STYLE_OPTIONS,positive
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",FOOD#QUALITY,positive
Finali sütlaçla yapmanızı tavsiye ediyorum.,FOOD#QUALITY,positive
Sütlacı da enfes.,FOOD#QUALITY,positive
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",FOOD#QUALITY,positive
Atıştırmalık Jumbo Combo pek yummy!,FOOD#QUALITY,positive
Deniz ürünleri çok başarılı.,FOOD#QUALITY,positive
Manzarası zaten mükemmel.,AMBIENCE#GENERAL,positive
"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",AMBIENCE#GENERAL,positive
Onun dışında pek öğrenci mekanı değil.,AMBIENCE#GENERAL,neutral
"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",AMBIENCE#GENERAL,neutral
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",AMBIENCE#GENERAL,positive
"Çalan müzik tam kıvamında, rahatsız etmiyor.",AMBIENCE#GENERAL,positive
"Yemekleri çok lezzetli, manzara mükemmel.",AMBIENCE#GENERAL,positive
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",FOOD#PRICES,negative
Kalabalik zamanlarda servis fazlasiyla aksiyor.,SERVICE#GENERAL,negative
"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",SERVICE#GENERAL,negative
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,AMBIENCE#GENERAL,negative
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",AMBIENCE#GENERAL,positive
İçinizi serinletecek enfes bir tat.,FOOD#QUALITY,positive
Garsonlar suratsiz.,SERVICE#GENERAL,negative
Bu kadar methedilmeyi hakketmiyor.,RESTAURANT#GENERAL,negative
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,FOOD#STYLE_OPTIONS,negative
Açiklama:,FOOD#STYLE_OPTIONS,negative
kasarla köfte yoguruluyormus.,FOOD#STYLE_OPTIONS,negative
Isletme sahibi kaba.,SERVICE#GENERAL,negative
Bizim kasarli köfte tanimimiz böyle diyor sadece!,FOOD#STYLE_OPTIONS,negative
Müsteri memnuniyeti sifir!,RESTAURANT#GENERAL,negative
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",FOOD#QUALITY,positive
O zaman keşke başlangıçlarda menüde yer almasa!,FOOD#STYLE_OPTIONS,negative
"Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.",FOOD#STYLE_OPTIONS,positive
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,RESTAURANT#GENERAL,positive
İlk defa bir şubesine gidip oturup yemek yedim.,RESTAURANT#GENERAL,positive
"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",FOOD#STYLE_OPTIONS,positive
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,FOOD#STYLE_OPTIONS,negative
Evet suçluyum!,FOOD#STYLE_OPTIONS,negative
Tek ayak üstünde köşeme çekiliyorum!,FOOD#STYLE_OPTIONS,negative
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,FOOD#QUALITY,positive
"Malzemesi bol, porsiyonu tam kıvamındaydı.",FOOD#STYLE_OPTIONS,positive
Beşiktaş'ın göbeğinde.,LOCATION#GENERAL,positive
